SAMPLEMONTH,SAMPLEDAY,STARTFL,ENDFL,LENGTHRUN
5,10,259,270,L
5,11,261,270,L
5,12,262,270,L
5,13,264,270,L
5,14,266,270,L
5,15,268,270,L
5,16,269,270,L
10,16,0,33,S
10,17,0,33,S
10,18,0,34,S
10,19,0,34,S
10,20,0,34,S
10,21,0,34,S
10,22,0,34,S
10,23,0,35,S
10,24,0,35,S
10,25,0,35,S
10,26,0,35,S
10,27,0,36,S
10,28,0,36,S
10,29,0,36,S
10,30,0,36,S
10,31,0,37,S
11,1,0,37,S
11,2,0,37,S
11,3,0,37,S
11,4,0,38,S
11,5,0,38,S
11,6,0,38,S
11,7,0,38,S
11,8,0,39,S
11,9,0,39,S
11,10,0,39,S
11,11,0,39,S
11,12,0,40,S
11,13,0,40,S
11,14,0,40,S
11,15,0,40,S
11,16,0,41,S
11,17,0,41,S
11,18,0,41,S
11,19,0,41,S
11,20,0,42,S
11,21,0,42,S
11,22,0,42,S
11,23,0,43,S
11,24,0,43,S
11,25,0,43,S
11,26,0,43,S
11,27,0,44,S
11,28,0,44,S
11,29,0,44,S
11,30,0,45,S
12,1,33,45,S
12,2,33,45,S
12,3,34,45,S
12,4,34,46,S
12,5,34,46,S
12,6,34,46,S
12,7,34,47,S
12,8,35,47,S
12,9,35,47,S
12,10,35,48,S
12,11,35,48,S
12,12,36,48,S
12,13,36,49,S
12,14,36,49,S
12,15,36,49,S
12,16,37,50,S
12,17,37,50,S
12,18,37,50,S
12,19,37,50,S
12,20,38,51,S
12,21,38,51,S
12,22,38,51,S
12,23,38,52,S
12,24,39,52,S
12,25,39,53,S
12,26,39,53,S
12,27,39,53,S
12,28,40,54,S
12,29,40,54,S
12,30,40,54,S
12,31,40,55,S
1,1,41,55,S
1,2,41,55,S
1,3,41,56,S
1,4,41,56,S
1,5,42,56,S
1,6,42,57,S
1,7,42,57,S
1,8,43,58,S
1,9,43,58,S
1,10,43,58,S
1,11,43,59,S
1,12,44,59,S
1,13,44,59,S
1,14,44,60,S
1,15,45,60,S
1,16,45,61,S
1,17,45,61,S
1,18,45,61,S
1,19,46,62,S
1,20,46,62,S
1,21,46,63,S
1,22,47,63,S
1,23,47,64,S
1,24,47,64,S
1,25,48,64,S
1,26,48,65,S
1,27,48,65,S
1,28,49,66,S
1,29,49,66,S
1,30,49,67,S
1,31,50,67,S
2,1,50,67,S
2,2,50,68,S
2,3,50,68,S
2,4,51,69,S
2,5,51,69,S
2,6,51,70,S
2,7,52,70,S
2,8,52,71,S
2,9,53,71,S
2,10,53,72,S
2,11,53,72,S
2,12,54,72,S
2,13,54,73,S
2,14,54,73,S
2,15,55,74,S
2,16,55,74,S
2,17,55,75,S
2,18,56,75,S
2,19,56,76,S
2,20,56,76,S
2,21,57,77,S
2,22,57,77,S
2,23,58,78,S
2,24,58,78,S
2,25,58,79,S
2,26,59,79,S
2,27,59,80,S
2,28,59,80,S
2,29,60,81,S
3,1,60,81,S
3,2,60,82,S
3,3,61,82,S
3,4,61,83,S
3,5,61,83,S
3,6,62,84,S
3,7,62,84,S
3,8,63,85,S
3,9,63,85,S
3,10,64,86,S
3,11,64,87,S
3,12,64,87,S
3,13,65,88,S
3,14,65,88,S
3,15,66,89,S
3,16,66,89,S
3,17,67,90,S
3,18,67,91,S
3,19,67,91,S
3,20,68,92,S
3,21,68,92,S
3,22,69,93,S
3,23,69,94,S
3,24,70,94,S
3,25,70,95,S
3,26,71,95,S
3,27,71,96,S
3,28,72,97,S
3,29,72,97,S
3,30,72,98,S
3,31,73,99,S
4,1,73,99,S
4,2,74,100,S
4,3,74,101,S
4,4,75,101,S
4,5,75,102,S
4,6,76,103,S
4,7,76,103,S
4,8,77,104,S
4,9,77,105,S
4,10,78,105,S
4,11,78,106,S
4,12,79,107,S
4,13,79,107,S
4,14,80,108,S
4,15,80,109,S
4,16,81,110,S
4,17,82,110,S
4,18,82,111,S
4,19,83,112,S
4,20,83,112,S
4,21,84,113,S
4,22,84,114,S
4,23,85,115,S
4,24,85,115,S
4,25,86,116,S
4,26,87,117,S
4,27,87,118,S
4,28,88,119,S
4,29,88,119,S
4,30,89,120,S
5,1,89,121,S
5,2,90,122,S
5,3,91,123,S
5,4,91,123,S
5,5,92,124,S
5,6,92,125,S
5,7,93,126,S
5,8,94,127,S
5,9,94,127,S
5,10,95,128,S
5,11,95,129,S
5,12,96,130,S
5,13,97,131,S
5,14,97,132,S
5,15,98,133,S
5,16,99,133,S
5,17,99,134,S
5,18,100,135,S
5,19,101,136,S
5,20,101,137,S
5,21,102,138,S
5,22,103,139,S
5,23,103,140,S
5,24,104,141,S
5,25,105,142,S
5,26,105,143,S
5,27,106,143,S
5,28,107,144,S
5,29,107,145,S
5,30,108,146,S
5,31,109,147,S
6,1,110,148,S
6,2,110,149,S
6,3,111,150,S
6,4,112,151,S
6,5,112,152,S
6,6,113,153,S
6,7,114,154,S
6,8,115,155,S
6,9,115,156,S
6,10,116,157,S
6,11,117,158,S
6,12,118,159,S
6,13,119,160,S
6,14,119,161,S
6,15,120,163,S
6,16,121,164,S
6,17,122,165,S
6,18,123,166,S
6,19,123,167,S
6,20,124,168,S
6,21,125,169,S
6,22,126,170,S
6,23,127,171,S
6,24,127,172,S
6,25,128,174,S
6,26,129,175,S
6,18,55,123,F
6,19,56,123,F
6,20,56,124,F
6,21,56,125,F
6,22,57,126,F
6,23,57,127,F
6,24,58,127,F
6,25,58,128,F
6,26,58,129,F
6,27,59,130,F
6,28,59,131,F
6,29,59,132,F
6,30,60,133,F
7,1,60,133,F
7,2,61,134,F
7,3,61,135,F
7,4,61,136,F
7,5,62,137,F
7,6,62,138,F
7,7,63,139,F
7,8,63,140,F
7,9,64,141,F
7,10,64,142,F
7,11,64,143,F
7,12,65,143,F
7,13,65,144,F
7,14,66,145,F
7,15,66,146,F
7,16,67,147,F
7,17,67,148,F
7,18,67,149,F
7,19,68,150,F
7,20,68,151,F
7,21,69,152,F
7,22,69,153,F
7,23,70,154,F
7,24,70,155,F
7,25,71,156,F
7,26,71,157,F
7,27,72,158,F
7,28,72,159,F
7,29,72,160,F
7,30,73,161,F
7,31,73,163,F
8,1,74,164,F
8,2,74,165,F
8,3,75,166,F
8,4,75,167,F
8,5,76,168,F
8,6,76,169,F
8,7,77,170,F
8,8,77,171,F
8,9,78,172,F
8,10,78,174,F
8,11,79,175,F
8,12,79,176,F
8,13,80,177,F
8,14,80,178,F
8,15,81,179,F
8,16,82,181,F
8,17,82,182,F
8,18,83,183,F
8,19,83,184,F
8,20,84,185,F
8,21,84,187,F
8,22,85,188,F
8,23,85,189,F
8,24,86,190,F
8,25,87,192,F
8,26,87,193,F
8,27,88,194,F
8,28,88,195,F
8,29,89,197,F
8,30,89,198,F
8,31,90,199,F
9,1,91,201,F
9,2,91,202,F
9,3,92,203,F
9,4,92,205,F
9,5,93,206,F
9,6,94,207,F
9,7,94,209,F
9,8,95,210,F
9,9,95,211,F
9,10,96,213,F
9,11,97,214,F
9,12,97,216,F
9,13,98,217,F
9,14,99,218,F
9,15,99,220,F
9,16,100,221,F
9,17,101,223,F
9,18,101,224,F
9,19,102,226,F
9,20,103,227,F
9,21,103,229,F
9,22,104,230,F
9,23,105,232,F
9,24,105,233,F
9,25,106,235,F
9,26,107,236,F
9,27,107,238,F
9,28,108,239,F
9,29,109,241,F
9,30,110,243,F
10,1,110,244,F
10,2,111,246,F
10,3,112,247,F
10,4,112,249,F
10,5,113,251,F
10,6,114,252,F
10,7,115,254,F
10,8,115,256,F
10,9,116,257,F
10,10,117,259,F
10,11,118,261,F
10,12,119,262,F
10,13,119,264,F
10,14,120,266,F
10,15,121,268,F
10,16,122,269,F
10,17,123,270,F
10,18,123,270,F
10,19,124,270,F
10,20,125,270,F
10,21,126,270,F
10,22,127,270,F
10,23,127,270,F
10,24,128,270,F
10,25,129,270,F
10,26,130,270,F
10,27,131,270,F
10,28,132,270,F
10,29,133,270,F
10,30,133,270,F
10,31,134,270,F
11,1,135,270,F
11,2,136,270,F
11,3,137,270,F
11,4,138,270,F
11,5,139,270,F
11,6,140,270,F
11,7,141,270,F
11,8,142,270,F
11,9,143,270,F
11,10,143,270,F
11,11,144,270,F
11,12,145,270,F
11,13,146,270,F
11,14,147,270,F
11,15,148,270,F
11,16,149,270,F
11,17,150,270,F
11,18,151,270,F
11,19,152,270,F
11,20,153,270,F
11,21,154,270,F
11,22,155,270,F
11,23,156,270,F
11,24,157,270,F
11,25,158,270,F
11,26,159,270,F
11,27,160,270,F
11,28,161,270,F
11,29,163,270,F
11,30,164,270,F
12,1,165,270,F
12,2,166,270,F
12,3,167,270,F
12,4,168,270,F
12,5,169,270,F
12,6,170,270,F
12,7,171,270,F
6,27,130,176,S
6,28,131,177,S
6,29,132,178,S
6,30,133,179,S
7,1,133,181,S
7,2,134,182,S
7,3,135,183,S
7,4,136,184,S
7,5,137,185,S
7,6,138,187,S
7,7,139,188,S
7,8,140,189,S
7,9,141,190,S
7,10,142,192,S
7,11,143,193,S
7,12,143,194,S
7,13,144,195,S
7,14,145,197,S
7,15,146,198,S
7,16,147,199,S
7,17,148,201,S
7,18,149,202,S
7,19,150,203,S
7,20,151,205,S
7,21,152,206,S
7,22,153,207,S
7,23,154,209,S
7,24,155,210,S
7,25,156,211,S
7,26,157,213,S
7,27,158,214,S
7,28,159,216,S
7,29,160,217,S
7,30,161,218,S
7,31,163,220,S
8,1,164,221,S
8,2,165,223,S
8,3,166,224,S
8,4,167,226,S
8,5,168,227,S
8,6,169,229,S
8,7,170,230,S
8,8,171,232,S
8,9,172,233,S
8,10,174,235,S
8,11,175,236,S
8,12,176,238,S
8,13,177,239,S
8,14,178,241,S
8,15,179,243,S
8,16,181,244,S
8,17,182,246,S
8,18,183,247,S
8,19,184,249,S
8,20,185,251,S
8,21,187,252,S
8,22,188,254,S
8,23,189,256,S
8,24,190,257,S
8,25,192,259,S
8,26,193,261,S
8,27,194,262,S
8,28,195,264,S
8,29,197,266,S
8,30,198,268,S
8,31,199,269,S
9,1,201,270,S
9,2,202,270,S
9,3,203,270,S
9,4,205,270,S
9,5,206,270,S
9,6,207,270,S
9,7,209,270,S
9,8,210,270,S
9,9,211,270,S
9,10,213,270,S
9,11,214,270,S
9,12,216,270,S
9,13,217,270,S
9,14,218,270,S
9,15,220,270,S
9,16,221,270,S
9,17,223,270,S
9,18,224,270,S
9,19,226,270,S
9,20,227,270,S
9,21,229,270,S
9,22,230,270,S
9,23,232,270,S
9,24,233,270,S
9,25,235,270,S
9,26,236,270,S
9,27,238,270,S
9,28,239,270,S
9,29,241,270,S
9,30,243,270,S
10,1,244,270,S
10,2,246,270,S
10,3,247,270,S
10,4,249,270,S
10,5,251,270,S
10,6,252,270,S
10,7,254,270,S
10,8,256,270,S
10,9,257,270,S
10,10,259,270,S
10,11,261,270,S
10,12,262,270,S
10,13,264,270,S
10,14,266,270,S
10,15,268,270,S
10,16,269,270,S
7,1,0,33,W
7,2,0,33,W
7,3,0,34,W
7,4,0,34,W
7,5,0,34,W
7,6,0,34,W
7,7,0,34,W
7,8,0,35,W
7,9,0,35,W
7,10,0,35,W
7,11,0,35,W
7,12,0,36,W
7,13,0,36,W
7,14,0,36,W
7,15,0,36,W
